uid,DT,DF,DL,DP,DC,BD,SL,TL,RL,LE,NQ,BT,DR,HR,DW,DG,SR,NDVI,RD,SB,GVI,SVI,RS,VMI,VHI,SDI,PD,WE
670,101.434146,62.89041,96.846684,44.007244,80.390726,0.146419424,0.013888794,0.86959,0,0.339639,0.218953,0.939963,1.41173,209.388748,122.592248,0.698522,2.5,0.1957,100.029142,5.001457,0.726785,0.000675,0.306882383,0.05824,0.022672,0.65106045,159.555504,21
671,143.119597,18.924201,114.833364,27.176704,37.069642,0.258884874,0,0.869589,0,0.355348,0.198633,1.207,1.44101,218.046997,73.10114,0.443509,3.6,0.2294,50.017104,12.504276,0.840218,0.105362,0,0.052367,0,0.466104993,179.93,19
672,188.885023,41.964832,125.315412,56.532798,35.855932,0.015914292,0,0.692658,0,0.716597,0.277338,1.55685,1.310372,211.965665,24.320297,0.425905,2.142857,0.2294,125.10397,3.574399,0.674202,0.104543,0.031118772,0.086618,0.001986,0.62654178,192.44775,22
673,180.663344,90.354683,75.37697,103.215025,78.721899,0,0,0.426449,0,1.094936,0.156239,0.724139,1.37223,227.083752,0,0.730662,1,0.2294,102.487104,4.270296,0.351514,0.426652,0.31516197,0.102221,0.046619,0.709528553,204.9655,21
674,138.619267,139.881702,25.679229,152.022121,126.919766,0,0,0.251178,0,0.850518,0.180942,0.631848,1.20726,218.871994,0,0.041008,0.75,0.2294,50.016101,6.252013,0.744059,0.032436,0.484361753,0.078428,0.081778,0.461171665,0,19
675,101.73322,189.657091,25.241989,138.03199,176.125286,0,0,0.169415,0,0.85276,0.152374,0.67404,1.43211,212.648666,0,0.347075407,1.5,0.2157,54.812389,5.481239,0.586314,0.28088,0.099878598,0.119618,0.011875,0.610414665,209.460999,20
676,66.30447,193.37258,16.806152,125.417267,225.680318,0,0,0.154959,0,0.882753,0.16676,1.500386,1.469512,213.576874,0,0.54416,2.2,0.1637,145.601975,3.033374,0.516537,0.287171,0.262839266,0.105659,0.033368,0.680563072,209.460999,27
677,58.242208,199.773856,34.00275,131.932375,275.396252,0,0.140992188,0,0.341559,0.970884,0.214698,1.618497,1.4054,226.712889,38.009504,0.540732,3.4,0.1637,150.443587,3.134241,0.639872,0.189025,0.125109392,0.103312,0.01669,0.631189552,185.818497,10
678,58.53627,217.775647,59.394085,155.186379,295.709017,0,0.013545659,0,0.16369,0.598638,0.23719,1.289886,1.334604,270.396286,86.798574,0.19029,2.666667,0.1637,118.105185,3.028338,0.512629,0.278828,0.446003842,0.084537,0.075351,0.667883037,185.818497,17
679,132.554912,634.722649,1024.879599,101.297521,968.52818,0,0,0,0.002955,0.017209,0.145859,0.373446,1.11803,189.516006,117.001702,0.197767,1.5,0.2269,10.35184,5.17592,0.037082,0.428955,0.11205213,0.121943,0.011146,0.80727579,0,9
680,103.345671,587.228276,985.283278,92.114228,918.673137,0,0,0,0.877989,0.114245,0.121298,0.70707,1.295867,188.748006,167.001702,0.501254,1.2,0.2269,74.611556,4.974104,0.215565,0.352573,0.23612144,0.058322,0.012927,0.846291631,152.423996,2
681,138.148623,213.006415,625.337836,8.884287,275.383014,0.120910852,0,0,0.997267,0.071685,0.151152,0.418023,1.283685,228.594002,172.100605,0.322644,2.25,0.4177,26.058534,6.514633,0.818539,0.000518,0.295498205,0.115891,0.04221,0.492155147,73.653999,4
682,139.133352,239.449242,617.618291,22.037165,227.48473,0.125655108,0,0,0.857179,0.384155,0.205008,1.030121,1.341708,224.627798,199.746211,0.499035,3.75,0.4177,108.200826,4.918219,0.455269,0.420911,0.168633583,0.061779,0.014274,0.70356732,79.5396,7
683,124.604373,272.580531,579.916617,33.111168,180.728526,0.000142524,0,0,0.864502,0.374062,0.054851,0.292657,1.379,200.584999,234.901,0.987445,5,0.4286,85.098653,14.183109,0.699885,0.05156,0.1009197,0.040643,0.008804,0.624811072,85.425201,7
684,74.632368,310.264971,532.875041,36.453876,132.487737,0.019178929,0,0,0.864502,0.332475,0.054851,0.292657,1.379,200.584999,274.696943,0.997691,4.2,0.4394,102.617337,12.827167,0.370907,0.318769,0.111853065,0.083946,0.01945,0.780742613,91.136002,7
